有空调;有空 调
招聘装配工;装配工
空调车间;空 调车间
招生》;，
个多月; 个多月
一个人;一 个人
个星期; 个星期
一个工管住不管吃个礼拜; 个礼拜
个班; 个班
0.5个工;0.5 个工
个通层; 个通层
不要暑期工;
暑假工不要;
五个; 5个
个月; 个月
个小时; 个小时
三个; 3个
五个; 5个
两个; 2个
一个; 1个
十个人; 10人
一名; 1名
二名; 2名
两名; 2名
三名; 3名
空调淋;空 调淋
十人; 10人
四个; 4个
九个人; 9个
十五名; 15名
十名; 10名
物流仓库;物 流仓 库
热水空调;热水空 调
汽车玻璃;汽车玻 璃 调
服务费;服 务费
威特电梯;威特电 梯
空调室;空 调室
五六个;5到6个
26个英文字母;26 个英文字母
26个大小写字母;26 个大小写字母
26个字母;26 个字母
个工作日; 个工作日
人间; 人间
2个及以上完整;2 个及以上完整
人一个房间; 人一个房间
个房间; 个房间
十五个;15个
四名;4名
管网证;管 网证
六名;6名
带焊工证;带焊 工证
六人;6人
个点; 个点
个工地; 个工地
管工作餐;管 工作餐
长期稳定; 长期稳定
两人;2人
